,f1-score,precision,recall,support
0,0.6856240126382307,0.6884032428621784,0.6828671328671329,14300.0
1,0.7836769188977091,0.6893951463013117,0.9078321678321678,14300.0
2,0.7697659709044908,0.6535982814178303,0.9361538461538461,14300.0
3,0.3782696177062374,0.9420935412026726,0.23664335664335664,14300.0
4,0.8342034711443488,0.8416856492027335,0.8268531468531468,14300.0
5,0.7032891338040296,0.5424873809252723,0.9995804195804195,14300.0
6,0.8765806777946383,0.9067872626700553,0.8483216783216784,14300.0
7,0.8171060945487966,0.6932936933424311,0.9947552447552448,14300.0
8,0.8255095738109944,0.921406411582213,0.7476923076923077,14300.0
9,0.8601815472158244,0.8340777719390436,0.887972027972028,14300.0
10,0.6001257314183471,0.9727229973350054,0.43391608391608394,14300.0
11,0.8375754796300543,0.9234788471262431,0.7662937062937063,14300.0
12,0.8731827331693134,0.9350151684496247,0.819020979020979,14300.0
13,0.7460944206008584,0.9657777777777777,0.6078321678321679,14300.0
14,0.9114197961747871,0.9097686733556298,0.9130769230769231,14300.0
15,0.8008581212096209,0.9765569976858839,0.6787412587412588,14300.0
16,0.6987419398475898,0.983623206804621,0.5418181818181819,14300.0
17,0.7840691776835453,0.9667828583145376,0.6594405594405595,14300.0
18,0.848685007877833,0.7487703165098375,0.9793706293706294,14300.0
19,0.7562497310786971,0.9828878201543452,0.6145454545454545,14300.0
