,f1-score,precision,recall,support
0,0.6864605581037079,0.6837076300739294,0.6892357449201997,14223.0
1,0.7003136107045788,0.8640115559224102,0.5887646769317303,14223.0
2,0.6403162055335968,0.8864569083447332,0.5011600928074246,14223.0
3,0.7158910966951014,0.5621515382455577,0.9853757997609506,14223.0
4,0.8362255209422259,0.8289464594127807,0.8436335512901638,14223.0
5,0.26443861682015,0.9972401103955841,0.1524291640300921,14223.0
6,0.8836829201852356,0.8567844172994388,0.9123251072206988,14223.0
7,0.7135144862335793,0.9906308557151781,0.5575476341137594,14223.0
8,0.8548583905979064,0.7867486258053077,0.9358785066441679,14223.0
9,0.8500109003706126,0.879539815023686,0.822400337481544,14223.0
10,0.7726235323232601,0.6344382225433526,0.9877662940307952,14223.0
11,0.8623704663212435,0.7993636309059254,0.9361597412641496,14223.0
12,0.8874255459960291,0.8382196661874102,0.94276875483372,14223.0
13,0.8246903336691757,0.7127490652051427,0.9783449342614076,14223.0
14,0.910614918644784,0.9122856538000141,0.9089502917809182,14223.0
15,0.8528667662389124,0.7527981058975463,0.9836180833860648,14223.0
16,0.8083971435945969,0.6826503923278117,0.9909301835055896,14223.0
17,0.8425678952473327,0.740529596675369,0.9772199957814807,14223.0
18,0.79228017635804,0.969956207353091,0.6696196301764747,14223.0
19,0.8324212394616181,0.7185170054131345,0.9892427757856992,14223.0
